"key","source","context","cs","en","fr","de","ru","es-ES"
"CANNOT_SEND_TO_MYSELF","Cannot send to myself","","","","","","",""
"TR_3RD_PARTY_WALLETS","3rd party wallets","","","","","","",""
"TR_3RD_PARTY_WALLETS_DESC","These coins are supported by Trezor but only in 3rd party wallets. These coins cannot be managed by Trezor Suite or Wallet.","","","","","","",""
"TR_404_DESCRIPTION","Well… something is broken. Please proceed to Dashboard.","","","","","","",""
"TR_404_GO_TO_DASHBOARD","Go to Dashboard now!","","","","","","",""
"TR_404_TITLE","Error 404","","","","","","",""
"TR_ACCESS_HIDDEN_WALLET","Access Hidden Wallet","","","","","","",""
"TR_ACCESS_STANDARD_WALLET","Access standard Wallet","","","","","","",""
"TR_ACCOUNT_ENABLE_PASSPHRASE","Enable passphrase","","","","","","",""
"TR_ACCOUNT_EXCEPTION_AUTH_ERROR","Authorization error.","","","","","","",""
"TR_ACCOUNT_EXCEPTION_DISCOVERY_EMPTY","There are no coins enabled in settings.","","","","","","",""
"TR_ACCOUNT_EXCEPTION_DISCOVERY_ERROR","Discovery error.","","","","","","",""
"TR_ACCOUNT_EXCEPTION_NOT_ENABLED","{networkName} not enabled in settings.","","","","","","",""
"TR_ACCOUNT_EXCEPTION_NOT_EXIST","Account does not exist","","","","","","",""
"TR_ACCOUNT_HASH","Account #{number}","Used in auto-generated account label","","","","","",""
"TR_ACCOUNT_IMPORTED_ANNOUNCEMENT","A watch-only account is a public address you’ve imported into your wallet, allowing the wallet to watch for outputs but not spend them.","","","","","","",""
"TR_ACCOUNT_IS_EMPTY","The account is empty","","","","","","",""
"TR_ACCOUNT_PASSPHRASE_DISABLED","Change passphrase settings to use this device","","","","","","",""
"TR_ACCOUNTS_MENU_TITLE","Accounts","","","","","","",""
"TR_ACQUIRE_DEVICE","Acquire device","call-to-action to use device in current window when it is used in other window","","","","","",""
"TR_ACQUIRE_DEVICE_DESCRIPTION","Please close the tab in your browser or click the button below to acquire the device since Trezor can be only used in one session.","","","","","","",""
"TR_ACQUIRE_DEVICE_TITLE","Trezor is being used in a browser","","","","","","",""
"TR_ACTIVATE_ALL","Activate all","","","","","","",""
"TR_ADD_ACCOUNT","Add account","","","","","","",""
"TR_ADD_HIDDEN_WALLET","Add hidden wallet","","","","","","",""
"TR_ADD_NEW_ACCOUNT","Add new account","","","","","","",""
"TR_ADDITIONAL_SECURITY_FEATURES","Additional security features are waiting to be done.","","","","","","",""
"TR_ADDRESS","Address","Used as label for receive/send address input","","","","","",""
"TR_ADDRESS_IS_NOT_SET","Address is not set","","","","","","",""
"TR_ADDRESS_IS_NOT_VALID","Address is not valid","","","","","","",""
"TR_ADDRESS_MODAL_BTC_DESCRIPTION","Try to always use a fresh address as a prerequisite to keep your transactions and accounts untrackable by anyone else than you.","","","","","","",""
"TR_ADDRESS_MODAL_CHECK_ON_TREZOR","Check on your Trezor now","","","","","","",""
"TR_ADDRESS_MODAL_CHECK_ON_TREZOR_DESC","For even more security you can check the receive address on your Trezor to make sure nobody hacked your Wallet.","","","","","","",""
"TR_ADDRESS_MODAL_CLIPBOARD","Copy address","","","","","","",""
"TR_ADDRESS_MODAL_TITLE","{networkName} receive address","","","","","","",""
"TR_ADVANCED_RECOVERY_OPTION","Advanced recovery (5 minutes)","Button for selecting advanced recovery option","","","","","",""
"TR_ADVANCED_SETTINGS","Advanced settings","Shows advanced sending form","","","","","",""
"TR_ALLOW_ANALYTICS","Allow anonymous data storing","","","","","","",""
"TR_ALLOW_ANALYTICS_DESCRIPTION","Trezor Suite does NOT track any balance-related or personal data, all anonymously","","","","","","",""
"TR_AMOUNT","Amount","","","","","","",""
"TR_AMOUNT_IS_NOT_ENOUGH","Not enough funds","","","","","","",""
"TR_AMOUNT_IS_NOT_IN_RANGE_DECIMALS","Maximum {decimals} decimals allowed","","","","","","",""
"TR_AMOUNT_IS_NOT_NUMBER","Amount is not a number","","","","","","",""
"TR_AMOUNT_IS_NOT_SET","Amount is not set","","","","","","",""
"TR_AND","and","","","","","","",""
"TR_ASSETS","Assets","","","","","","",""
"TR_ATTENTION_COLON_THE_LOG_CONTAINS","Attention: The log contains your XPUBs. Anyone with your XPUBs can see your account history.","","","","","","",""
"TR_AUTH_CONFIRM_FAILED_RETRY","Retry","","","","","","",""
"TR_AUTH_CONFIRM_FAILED_TITLE","Passphrase mismatch!","","","","","","",""
"TR_AUTHENTICATING_DEVICE","Authenticating device...","","","","","","",""
"TR_BACK","Back","Back button","","","","","",""
"TR_BACKEND_CONNECT","Connect","","","","","","",""
"TR_BACKEND_DISCONNECTED","Backend is disconnected","","","","","","",""
"TR_BACKGROUND_GALLERY","Homescreen background gallery","","","","","","",""
"TR_BACKUP","Backup","","","","","","",""
"TR_BACKUP_FAILED","Backup failed and your Wallet is not backed up. You can still use it without any problems but highly recommend you following the link and see how to successfully create a backup.","","","","","","",""
"TR_BACKUP_FINISHED_BUTTON","My recovery card is safe","Exit button after backup is finished","","","","","",""
"TR_BACKUP_FINISHED_TEXT","Backup is now on your recovery seed card. Once again dont lose it and keep it private!","Text that appears after backup is finished","","","","","",""
"TR_BACKUP_RECOVERY_SEED","Backup (Recovery seed)","","","","","","",""
"TR_BACKUP_SUBHEADING_1","Backup seed consisting of words is the ultimate key to your Wallet and all the important data. Trezor will generate the seed and you should write it down and store it securely.","Explanation what recovery seed is","","","","","",""
"TR_BASIC_RECOVERY_OPTION","Basic recovery (2 minutes)","Button for selecting basic recovery option","","","","","",""
"TR_BCH_ADDRESS_INFO","Bitcoin Cash changed the format of addresses to cashaddr. Use external tool to convert legacy addresses to the new format. {TR_LEARN_MORE}","","","","","","",""
"TR_BEGIN","Let's begin!","","","","","","",""
"TR_BRIDGE_SUBHEADING","Trezor Bridge is a communication tool to facilitate the connection between your Trezor and your internet browser.","Description what Trezor Bridge is","","","","","",""
"TR_BUY","Buy","","","","","","",""
"TR_CAMERA_NOT_RECOGNIZED","The camera was not recognized.","","","","","","",""
"TR_CAMERA_PERMISSION_DENIED","Permission to access the camera was denied.","","","","","","",""
"TR_CARDANO_WALLET","Cardano wallet","","","","","","",""
"TR_CHANGELOG","Changelog","Part of the sentence: Learn more about latest version in {TR_CHANGELOG}.","","","","","",""
"TR_CHECK_FOR_DEVICES","Check for devices","","","","","","",""
"TR_CHECK_FOR_UPDATES","Check for updates","","","","","","",""
"TR_CHECK_PGP_SIGNATURE","Check PGP signature","","","","","","",""
"TR_CHECK_RECOVERY_SEED","Check recovery seed","","","","","","",""
"TR_CHECK_SEED","Check seed","","","","","","",""
"TR_CHECK_YOUR_DEVICE","Check your device","Placeholder in seed input asking user to pay attention to his device","","","","","",""
"TR_CHOOSE_BETWEEN_NO_PASSPHRASE","Choose between no-passphrase or hidden wallet with passphrase.","","","","","","",""
"TR_CLEAR","Clear","Clear form button","","","","","",""
"TR_CLOSE","Close","","","","","","",""
"TR_COIN_DISCOVERY_IN_PROGRESS","Coin discovery in progress…","","","","","","",""
"TR_COINS","Coins","","","","","","",""
