"key","source","context","af","ar","bn","zh-CN","zh-TW","cs","nl","en","et","fr","de","el","he","hi","hu","id","it","ja","ko","no","fa","pl","pt-PT","ru","es-ES","sv-SE","tr","uk","vi"
"TR_MENU","Menu","Mobile sidebar toggler","Menu","Menu","Menu","Menu","Menu","Menu","Menu","Menu","Menu","Menu","Menu","Menu","Menu","Menu","Menu","Menu","Menu","Menu","Menu","Menu","Menu","Menu","Menu","Menu","Menu","Menu","Menu","Menu","Menu"
"TR_WIKI","Wiki","Link in header navigation","Wiki","Wiki","Wiki","Wiki","Wiki","Wiki","Wiki","Wiki","Wiki","Wiki","Wiki","Wiki","Wiki","Wiki","Wiki","Wiki","Wiki","Wiki","Wiki","Wiki","Wiki","Wiki","Wiki","Wiki","Wiki","Wiki","Wiki","Wiki","Wiki"
"TR_BLOG","Blog","Link in header navigation","Blog","Blog","Blog","Blog","Blog","Blog","Blog","Blog","Blog","Blog","Blog","Blog","Blog","Blog","Blog","Blog","Blog","Blog","Blog","Blog","Blog","Blog","Blog","Blog","Blog","Blog","Blog","Blog","Blog"
"TR_SUPPORT","Support","Link in header navigation","Support","Support","Support","Support","Support","Podpora","Support","Support","Support","Support","Support","Support","Support","Support","Support","Support","Support","Support","Support","Support","Support","Support","Support","Support","Support","Support","Support","Support","Support"
"TR_ENTER_PIN","Enter PIN","Button. Submit PIN","Enter PIN","Enter PIN","Enter PIN","Enter PIN","Enter PIN","Enter PIN","Enter PIN","Enter PIN","Enter PIN","Enter PIN","Enter PIN","Enter PIN","Enter PIN","Enter PIN","Enter PIN","Enter PIN","Enter PIN","Enter PIN","Enter PIN","Enter PIN","Enter PIN","Enter PIN","Enter PIN","Enter PIN","Enter PIN","Enter PIN","Enter PIN","Enter PIN","Enter PIN"
"TR_PIN_MANUAL_LINK","Learn more","Link to PIN manual","Learn more","Learn more","Learn more","Learn more","Learn more","Learn more","Learn more","Learn more","Learn more","Learn more","Learn more","Learn more","Learn more","Learn more","Learn more","Learn more","Learn more","Learn more","Learn more","Learn more","Learn more","Learn more","Learn more","Learn more","Learn more","Learn more","Learn more","Learn more","Learn more"
"TR_NOT_SURE_HOW_PIN_WORKS","Not sure how PIN works? {TR_PIN_MANUAL_LINK}","Link to PIN manual","Not sure how PIN works? {TR_PIN_MANUAL_LINK}","Not sure how PIN works? {TR_PIN_MANUAL_LINK}","Not sure how PIN works? {TR_PIN_MANUAL_LINK}","Not sure how PIN works? {TR_PIN_MANUAL_LINK}","Not sure how PIN works? {TR_PIN_MANUAL_LINK}","Not sure how PIN works? {TR_PIN_MANUAL_LINK}","Not sure how PIN works? {TR_PIN_MANUAL_LINK}","Not sure how PIN works? {TR_PIN_MANUAL_LINK}","Not sure how PIN works? {TR_PIN_MANUAL_LINK}","Not sure how PIN works? {TR_PIN_MANUAL_LINK}","Not sure how PIN works? {TR_PIN_MANUAL_LINK}","Not sure how PIN works? {TR_PIN_MANUAL_LINK}","Not sure how PIN works? {TR_PIN_MANUAL_LINK}","Not sure how PIN works? {TR_PIN_MANUAL_LINK}","Not sure how PIN works? {TR_PIN_MANUAL_LINK}","Not sure how PIN works? {TR_PIN_MANUAL_LINK}","Not sure how PIN works? {TR_PIN_MANUAL_LINK}","Not sure how PIN works? {TR_PIN_MANUAL_LINK}","Not sure how PIN works? {TR_PIN_MANUAL_LINK}","Not sure how PIN works? {TR_PIN_MANUAL_LINK}","Not sure how PIN works? {TR_PIN_MANUAL_LINK}","Not sure how PIN works? {TR_PIN_MANUAL_LINK}","Not sure how PIN works? {TR_PIN_MANUAL_LINK}","Not sure how PIN works? {TR_PIN_MANUAL_LINK}","Not sure how PIN works? {TR_PIN_MANUAL_LINK}","Not sure how PIN works? {TR_PIN_MANUAL_LINK}","Not sure how PIN works? {TR_PIN_MANUAL_LINK}","Not sure how PIN works? {TR_PIN_MANUAL_LINK}","Not sure how PIN works? {TR_PIN_MANUAL_LINK}"
"TR_DEVICE_YOU_RECONNECTED_IS_DIFFERENT","Device you reconnected is different from the previous device. Connect the right one or refresh your internet browser and start again.","Text that indicates that user reconnected different device than he was working with before","Device you reconnected is different from the previous device. Connect the right one or refresh your internet browser and start again.","Device you reconnected is different from the previous device. Connect the right one or refresh your internet browser and start again.","Device you reconnected is different from the previous device. Connect the right one or refresh your internet browser and start again.","Device you reconnected is different from the previous device. Connect the right one or refresh your internet browser and start again.","Device you reconnected is different from the previous device. Connect the right one or refresh your internet browser and start again.","Device you reconnected is different from the previous device. Connect the right one or refresh your internet browser and start again.","Device you reconnected is different from the previous device. Connect the right one or refresh your internet browser and start again.","Device you reconnected is different from the previous device. Connect the right one or refresh your internet browser and start again.","Device you reconnected is different from the previous device. Connect the right one or refresh your internet browser and start again.","Device you reconnected is different from the previous device. Connect the right one or refresh your internet browser and start again.","Device you reconnected is different from the previous device. Connect the right one or refresh your internet browser and start again.","Device you reconnected is different from the previous device. Connect the right one or refresh your internet browser and start again.","Device you reconnected is different from the previous device. Connect the right one or refresh your internet browser and start again.","Device you reconnected is different from the previous device. Connect the right one or refresh your internet browser and start again.","Device you reconnected is different from the previous device. Connect the right one or refresh your internet browser and start again.","Device you reconnected is different from the previous device. Connect the right one or refresh your internet browser and start again.","Device you reconnected is different from the previous device. Connect the right one or refresh your internet browser and start again.","Device you reconnected is different from the previous device. Connect the right one or refresh your internet browser and start again.","Device you reconnected is different from the previous device. Connect the right one or refresh your internet browser and start again.","Device you reconnected is different from the previous device. Connect the right one or refresh your internet browser and start again.","Device you reconnected is different from the previous device. Connect the right one or refresh your internet browser and start again.","Device you reconnected is different from the previous device. Connect the right one or refresh your internet browser and start again.","Device you reconnected is different from the previous device. Connect the right one or refresh your internet browser and start again.","Device you reconnected is different from the previous device. Connect the right one or refresh your internet browser and start again.","Device you reconnected is different from the previous device. Connect the right one or refresh your internet browser and start again.","Device you reconnected is different from the previous device. Connect the right one or refresh your internet browser and start again.","Device you reconnected is different from the previous device. Connect the right one or refresh your internet browser and start again.","Device you reconnected is different from the previous device. Connect the right one or refresh your internet browser and start again.","Device you reconnected is different from the previous device. Connect the right one or refresh your internet browser and start again."
"TR_CONNECTED_DEVICE_IS_IN_BOOTLOADER","Connected device is in bootloader mode. Reconnect it to continue.","Text that indicates that user connected device in bootloader mode","Connected device is in bootloader mode. Reconnect it to continue.","Connected device is in bootloader mode. Reconnect it to continue.","Connected device is in bootloader mode. Reconnect it to continue.","Connected device is in bootloader mode. Reconnect it to continue.","Connected device is in bootloader mode. Reconnect it to continue.","Connected device is in bootloader mode. Reconnect it to continue.","Connected device is in bootloader mode. Reconnect it to continue.","Connected device is in bootloader mode. Reconnect it to continue.","Connected device is in bootloader mode. Reconnect it to continue.","Connected device is in bootloader mode. Reconnect it to continue.","Connected device is in bootloader mode. Reconnect it to continue.","Connected device is in bootloader mode. Reconnect it to continue.","Connected device is in bootloader mode. Reconnect it to continue.","Connected device is in bootloader mode. Reconnect it to continue.","Connected device is in bootloader mode. Reconnect it to continue.","Connected device is in bootloader mode. Reconnect it to continue.","Connected device is in bootloader mode. Reconnect it to continue.","Connected device is in bootloader mode. Reconnect it to continue.","Connected device is in bootloader mode. Reconnect it to continue.","Connected device is in bootloader mode. Reconnect it to continue.","Connected device is in bootloader mode. Reconnect it to continue.","Connected device is in bootloader mode. Reconnect it to continue.","Connected device is in bootloader mode. Reconnect it to continue.","Connected device is in bootloader mode. Reconnect it to continue.","Connected device is in bootloader mode. Reconnect it to continue.","Connected device is in bootloader mode. Reconnect it to continue.","Connected device is in bootloader mode. Reconnect it to continue.","Connected device is in bootloader mode. Reconnect it to continue.","Connected device is in bootloader mode. Reconnect it to continue."
"TR_DEVICE_IS_USED_IN_OTHER_WINDOW_HEADING","Device is used in other window","","Device is used in other window","Device is used in other window","Device is used in other window","Device is used in other window","Device is used in other window","Device is used in other window","Device is used in other window","Device is used in other window","Device is used in other window","Device is used in other window","Device is used in other window","Device is used in other window","Device is used in other window","Device is used in other window","Device is used in other window","Device is used in other window","Device is used in other window","Device is used in other window","Device is used in other window","Device is used in other window","Device is used in other window","Device is used in other window","Device is used in other window","Device is used in other window","Device is used in other window","Device is used in other window","Device is used in other window","Device is used in other window","Device is used in other window"
