"key","source","context","af","ar","bn","zh-CN","zh-TW","cs","nl","en","et","fr","de","el","he","hi","hu","id","it","ja","ko","no","fa","pl","pt-PT","ru","es-ES","sv-SE","tr","uk","vi"
"TR_CONNECTED","Connected","Device status","Connected","Connected","Connected","Connected","Connected","Connected","Connected","Connected","Connected","Connected","Connected","Connected","Connected","Connected","Connected","Connected","Connected","Connected","Connected","Connected","Connected","Connected","Connected","Подключено","Connected","Connected","Connected","Пiдключено","Connected"
"TR_CONNECTED_BOOTLOADER","Connected (bootloader mode)","Device status","Connected (bootloader mode)","Connected (bootloader mode)","Connected (bootloader mode)","Connected (bootloader mode)","Connected (bootloader mode)","Connected (bootloader mode)","Connected (bootloader mode)","Connected (bootloader mode)","Connected (bootloader mode)","Connected (bootloader mode)","Connected (bootloader mode)","Connected (bootloader mode)","Connected (bootloader mode)","Connected (bootloader mode)","Connected (bootloader mode)","Connected (bootloader mode)","Connected (bootloader mode)","Connected (bootloader mode)","Connected (bootloader mode)","Connected (bootloader mode)","Connected (bootloader mode)","Connected (bootloader mode)","Connected (bootloader mode)","Подключено (режим системного загрузчика)","Connected (bootloader mode)","Connected (bootloader mode)","Connected (bootloader mode)","Підключено (режим завантажувача системи)","Connected (bootloader mode)"
"TR_CONNECTED_NOT_INITIALIZED","Connected (not initialized)","Device status","Connected (not initialized)","Connected (not initialized)","Connected (not initialized)","Connected (not initialized)","Connected (not initialized)","Connected (not initialized)","Connected (not initialized)","Connected (not initialized)","Connected (not initialized)","Connected (not initialized)","Connected (not initialized)","Connected (not initialized)","Connected (not initialized)","Connected (not initialized)","Connected (not initialized)","Connected (not initialized)","Connected (not initialized)","Connected (not initialized)","Connected (not initialized)","Connected (not initialized)","Connected (not initialized)","Connected (not initialized)","Connected (not initialized)","Подключено (не инициализировано)","Connected (not initialized)","Connected (not initialized)","Connected (not initialized)","Підключено (не ініціалізовано)","Connected (not initialized)"
"TR_CONNECTED_SEEDLESS","Connected (seedless mode)","Device status","Connected (seedless mode)","Connected (seedless mode)","Connected (seedless mode)","Connected (seedless mode)","Connected (seedless mode)","Connected (seedless mode)","Connected (seedless mode)","Connected (seedless mode)","Connected (seedless mode)","Connected (seedless mode)","Connected (seedless mode)","Connected (seedless mode)","Connected (seedless mode)","Connected (seedless mode)","Connected (seedless mode)","Connected (seedless mode)","Connected (seedless mode)","Connected (seedless mode)","Connected (seedless mode)","Connected (seedless mode)","Connected (seedless mode)","Connected (seedless mode)","Connected (seedless mode)","Подключено (режим без seed-фразы)","Connected (seedless mode)","Connected (seedless mode)","Connected (seedless mode)","Підключено (режим без seed'у)","Connected (seedless mode)"
"TR_CONNECTED_UPDATE_REQUIRED","Connected (update required)","Device status","Connected (update required)","Connected (update required)","Connected (update required)","Connected (update required)","Connected (update required)","Connected (update required)","Connected (update required)","Connected (update required)","Connected (update required)","Connected (update required)","Connected (update required)","Connected (update required)","Connected (update required)","Connected (update required)","Connected (update required)","Connected (update required)","Connected (update required)","Connected (update required)","Connected (update required)","Connected (update required)","Connected (update required)","Connected (update required)","Connected (update required)","Подключено (требуется обновление)","Connected (update required)","Connected (update required)","Connected (update required)","Підключено (потрібно оновленя)","Connected (update required)"
"TR_CONNECTED_UPDATE_RECOMMENDED","Connected (update recommended)","Device status","Connected (update recommended)","Connected (update recommended)","Connected (update recommended)","Connected (update recommended)","Connected (update recommended)","Connected (update recommended)","Connected (update recommended)","Connected (update recommended)","Connected (update recommended)","Connected (update recommended)","Connected (update recommended)","Connected (update recommended)","Connected (update recommended)","Connected (update recommended)","Connected (update recommended)","Connected (update recommended)","Connected (update recommended)","Connected (update recommended)","Connected (update recommended)","Connected (update recommended)","Connected (update recommended)","Connected (update recommended)","Connected (update recommended)","Подключено (рекомендуется обновление)","Connected (update recommended)","Connected (update recommended)","Connected (update recommended)","Підключено (рекомендовано оновлення)","Connected (update recommended)"
"TR_USED_IN_ANOTHER_WINDOW","Used in other window","Device status","Used in other window","Used in other window","Used in other window","Used in other window","Used in other window","Used in other window","Used in other window","Used in other window","Used in other window","Used in other window","Used in other window","Used in other window","Used in other window","Used in other window","Used in other window","Used in other window","Used in other window","Used in other window","Used in other window","Used in other window","Used in other window","Used in other window","Used in other window","Используется в другом окне","Used in other window","Used in other window","Used in other window","Використовується в іншому вікні","Used in other window"
"TR_UNAVAILABLE","Unavailable","Device status","Unavailable","Unavailable","Unavailable","Unavailable","Unavailable","Unavailable","Unavailable","Unavailable","Unavailable","Unavailable","Unavailable","Unavailable","Unavailable","Unavailable","Unavailable","Unavailable","Unavailable","Unavailable","Unavailable","Unavailable","Unavailable","Unavailable","Unavailable","Недоступно","Unavailable","Unavailable","Unavailable","Недоступно","Unavailable"
"TR_UNREADABLE","Unreadable","Device status","Unreadable","Unreadable","Unreadable","Unreadable","Unreadable","Unreadable","Unreadable","Unreadable","Unreadable","Unreadable","Unreadable","Unreadable","Unreadable","Unreadable","Unreadable","Unreadable","Unreadable","Unreadable","Unreadable","Unreadable","Unreadable","Unreadable","Unreadable","Невозможно прочитать","Unreadable","Unreadable","Unreadable","Неможливо прочитати","Unreadable"
"TR_DISCONNECTED","Disconnected","Device status","Disconnected","Disconnected","Disconnected","Disconnected","Disconnected","Disconnected","Disconnected","Disconnected","Disconnected","Disconnected","Disconnected","Disconnected","Disconnected","Disconnected","Disconnected","Disconnected","Disconnected","Disconnected","Disconnected","Disconnected","Disconnected","Disconnected","Disconnected","Отключено","Disconnected","Disconnected","Disconnected","Відключено","Disconnected"
