Timestamp;Date;Time;Type;Transaction ID;Fee;Fee unit;Address;Label;Amount;Amount unit;Fiat (USD);Other
1556098758;4/24/2019;11:39:18 AM GMT+2;SENT;850b43bd80d2cf9cf65e4e0bc793cade2afe3c4bcc6a149234cd33bf8812a2dc;0.00016019;BTC;3AZy5yYkmdYzWr1bWyzWCTqVbbeCsk8nEU;;0.00275435;BTC;15.02;
1556098414;4/24/2019;11:33:34 AM GMT+2;RECV;57640d09c16ae25333b1c7cd632f8ab4b37345734a2094ed825fe75b47ea84ce;;;115MLE3gbruxXM8xHUctmpU9tzZPJ9gf55;;0.00291454;BTC;15.89;
1517953926;2/6/2018;10:52:06 PM GMT+1;SENT;ab0f4e7c94cdbbca2021e815bed469d5484178431eec0fff56624bef0c5e335c;0.00000386;BTC;32sPwqW7TebhLdK2PZVD5rUsAmGuNtPPyu;;0.00028327;BTC;2.18;
1517407497;1/31/2018;3:04:57 PM GMT+1;SENT;a253186daa20e8b716f000e062d9e2ed825707868d5ded9e3c7f80c1427c696d;0.00002032;BTC;1Q7nZBef6UuKjnwrLG1WoxiXNEPcnjx51r;;0.00017992;BTC;1.82;
1517406768;1/31/2018;2:52:48 PM GMT+1;RECV;8354e9c64000d65194f33732f00dfc02273318f7ff1c15ac49553704cfcacb80;;;15iQHRZ2W7r4Xdzymb44qELtw4mA3Y7r5T;;0.00048737;BTC;4.93;
1517346955;1/30/2018;10:15:55 PM GMT+1;SENT;efe484dea42cd423daff16f2970e2379406c3c65e5e51333ec26cdafef5efc0b;0.00003934;BTC;13ewFSw5gbFEzd9wQEe75koFZpTw2jcb1Z;;0.00045177;BTC;4.51;
1517346955;1/30/2018;10:15:55 PM GMT+1;RECV;1c63407f4aee6fc5f7db468a258c935f36a0cceb1a28e87d72c3a209dc45ddd2;;;1Q3v139oFdzFj8GndTGQ45SM6wrXYEQTB5;;0.00049111;BTC;4.91;
1502445346;8/11/2017;11:55:46 AM GMT+2;SENT;7f54bba2d912f3c047d12ee513a230b69f41871fbd5566b1dca8f49330b16ce5;0.00002876;BTC;132rpc2Si2vWdjXxFKDJnNgsQFcYqRQy9G;;0.00005073;BTC;0.19;
1502445346;8/11/2017;11:55:46 AM GMT+2;RECV;ede17d2fb73b1b2c464ff2a296c8d72fc642f22593b389a7a9ba2f0c6170290b;;;1CL3i8dED1ESTvx2gf59B1QtzkkTQy6r9C;;0.00007949;BTC;0.3;
1478936493;11/12/2016;8:41:33 AM GMT+1;SENT;77469bae46f96e9d71429108801c06ad5e7f4ee6ddb49c475b1ab51e1fe85f67;0.00006;BTC;17CWptkXQ3xWCKiZNAgXBriP4quxbhyBFs;;0.0001322;BTC;0.09;
1478881376;11/11/2016;5:22:56 PM GMT+1;SELF;40242836cc07b635569688d12d63041935b86feb2db3fe575be80f2c44e5b4cb;0.0001715;BTC;1PmVvr5DNVYJygtDT7J312qmxpa5pceu9E;submitted by button;0.0001747;BTC;0.12;
1478877918;11/11/2016;4:25:18 PM GMT+1;SELF;d0f6a286f38bc72943adf3cc40995f7178976c91e4d3bc936c8f009b619f7d73;0.0001134;BTC;15RBaG3EV5hd64yUsWSNkgKWZaUJp73vLr;;0.0002881;BTC;0.2;
1478860043;11/11/2016;11:27:23 AM GMT+1;SELF;6f8af469577c1781918dc103440cfe4393963b2efbfc6cf49eb005afe8f90688;0.0000229;BTC;16NX7RY4VzXiyCCJ6FfMyTQmavNGiZ57Ht;;0.0003626;BTC;0.26;
1478855687;11/11/2016;10:14:47 AM GMT+1;RECV;c0b31b93f6d7345d212f1b2255ad5482ddfd56cffba89df7153209e7a92e4cca;;;1LTf7B5nBFUgKuJEx6arbv4Lb4LB38PF69;;0.0005;BTC;0.35;
1477667559;10/28/2016;5:12:39 PM GMT+2;SENT;6c7cb0165cb0dc492dc85789b04ad9d35cc1dfb787f7ea2144e2ead162509463;0.0001832;BTC;1FcTbtKkpnMNLhmG8f8aj4ZXJV8sQcEJXD;;0.0006336;BTC;0.45;
1477657082;10/28/2016;2:18:02 PM GMT+2;RECV;aa2986b60536a58c0f98ff9806d887735d68871fbec89920fae8c4f8578bb69a;;;16WJyr1YvsqjXCuQzAqvCNJs8VSR2EzLTn;;0.0008168;BTC;0.58;
1476456652;10/14/2016;4:50:52 PM GMT+2;SENT;79ae048ece81dc3a8b21634bc3b0523ca124cc660f6eff82fd6e67ea0be6bb31;0.0001374;BTC;1LaVQU2Uhc8UoYMqmFZiMDYw7bqbVmYjgR;;0.04200888;BTC;26.77;
1476454161;10/14/2016;4:09:21 PM GMT+2;RECV;11b343b0f98b8cb0161f01b2b3cefd7c2813d250ba63804beed2b1c6f7a816a3;;;14Tc2jbYVcb8U7E3N3i9pvzqBydAgW2cv5;;0.04214628;BTC;26.86;
